folio_u;tit_propio;nombre_edi;es_enlinea;catalogada;id_catalogo;nombre_largo;issn_e;issn_l;issn_imp;subtemas
25413;"Journal of movement and health";"Escuela de Educación Física. Pontificia Universidad Católica de Valparaíso";1;1;11364;Chile;2452-5812;2452-5812;;"Medicina, Salud pública, Terapéutica y rehabilitación, Traumatología y ortopedia"
29603;"Journal of Multidisciplinary Novel Journeys & Explorations.";"Editorial JOGB";1;1;11949;Ecuador;3091-1990;;;"Arte, Ciencias sociales y humanidades, Ingeniería, Multidisciplinarias, Humanidades, Ciencias naturales"
20261;"Journal of new approaches in educational research";"Universidad de Alicante";1;1;7943;España;2254-7339;2254-7339;;Educación
26875;"Journal of Perspectives in Management";"Universidade Federal de Pernambuco (UFPE)";1;1;10950;Brasil;2594-8040;2594-8040;;Administración
26358;"Journal of Physical Education";"Universidade Estadual de Maringá (UEM)";1;1;10848;Brasil;2448-2455;2448-2455;;"Deportes, Fisiología, Medicina, Estudios sociales de la salud"
24161;"Journal of Physical Education and Human Movement";"Servicio de Publicaciones y Divulgación. Universidad de Málaga";1;1;11142;España;2659-5699;2659-5699;;Deportes
9486;"Journal of Physiology and Biochemistry";Springer;1;1;3238;España;1877-8755;1138-7548;1138-7548;"Biología, Bioquímica, Fisiología"
23309;"Journal of Science and Research: Revista Ciencia e Investigación";"Universidad Técnica de Babahoyo";1;1;9740;Ecuador;2528-8083;;;"Ecología, Educación, Ingeniería de comunicaciones, electrónica y control, Salud pública, Recursos naturales no renovables, Telecomunicaciones"
19471;"Journal of science and technology of the arts";"Universidade Católica Editora";1;1;7366;Portugal;2183-0088;1646-9798;1646-9798;"Arte, Bellas artes, Cine, Cultura, Historia del arte, Música"
25095;"Journal of Sound, Silence, Image and Technology";"Grup de recerca SSIT";1;1;10424;España;2604-451X;2604-451X;;"Ciencias de la comunicación, Ciencias de la información, Cine, Música, Televisión"
9492;"Journal of Sport and Health Research";"Didactic Association Andalucía Scientific Section";1;1;3243;España;1989-6239;;;Deportes
23889;"Journal of Supranational Policies of Education";"Grupo de Investigación sobre Políticas Educativas Supranacionales (GIPES)";1;1;10045;España;2340-6720;2340-6720;;Educación
20299;"Journal of Technology and Science Education";OmniaScience;1;1;7969;España;2013-6374;2013-6374;;"Educación, Tecnología"
9495;"Journal of technology management & innovation";"Universidad Alberto Hurtado, Facultad de Economía y Negocios";1;1;3244;Chile;0718-2724;0718-2724;;"Economía, Tecnología"
25152;"Journal of the Academy";"Asociación de Universidades del Perú";1;1;11109;Perú;2707-0301;2707-0301;;Multidisciplinarias
9501;"Journal of the Chilean Chemical Society";"Sociedad Chilena de Química";1;1;3248;Chile;0717-9707;0717-9324;0717-9324;Química
9503;"Journal of the Mexican Chemical Society";"Sociedad Química de México A.C.";1;1;3250;México;2594-0317;1870-249X;1870-249X;Química
9505;"Journal of theoretical and applied electronic commerce research";"Universidad de Talca";1;1;3252;Chile;0718-1876;0718-1876;;"Administración, Economía de la empresa, Tecnología educativa, Telecomunicaciones"
24085;"Journal of tourism and heritage research";INVESTUR;1;1;10119;España;2659-3580;2659-3580;;"Derecho público, Turismo"
28799;"Journal on Interactive Systems";"Sociedade Brasileira de Computação (SBC)";1;1;11498;Brasil;2763-7719;2763-7719;;"Computación, Ciencia y Tecnología"
