"revista_id","revista","issn_canonico"
"REV-0208","PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA","0027-8424; 1091-6490"
"REV-0209","Journal of Constructivist Psychology","1072-0537; 1521-0650"
"REV-0210","MAGIS-REVISTA INTERNACIONAL DE INVESTIGACION EN EDUCACION","2027-1174; 2027-1182"
"REV-0211","INTERNATIONAL JOURNAL OF OSTEOARCHAEOLOGY","1047-482X; 1099-1212"
"REV-0212","AFFILIA-FEMINIST INQUIRY IN SOCIAL WORK","0886-1099; 1552-3020"
"REV-0213","La ventana. Revista de estudios de género","1405-9436; 2448-7724"
"REV-0214","INTERNATIONAL JOURNAL OF SOCIAL PSYCHOLOGY","0213-4748; 1579-3680"
"REV-0215","JOURNAL OF POLITICS IN LATIN AMERICA","1866-802X; 1868-4890"
"REV-0216","The Coronavirus Crisis and Challenges to Social Development: Global Perspectives","9783030846"
"REV-0217","INFANCY","1525-0008; 1532-7078"
"REV-0218","ENVIRONMENTAL SCIENCE & POLICY","1462-9011; 1873-6416"
"REV-0219","PSYCH JOURNAL","2046-0252; 2046-0260"
"REV-0220","REVISTA ARGENTINA DE CIENCIAS DEL COMPORTAMIENTO","1852-4206"
"REV-0221","URBAN RESEARCH & PRACTICE","1753-5069; 1753-5077"
"REV-0222","Exploring Ibero-American Youth Cultures in the 21st Century: Creativity, Resistance and Transgression in the City","303083540; 303083541"
"REV-0223","CIENCIA & SAUDE COLETIVA","1413-8123; 1678-4561"
"REV-0224","Current Research in Ecological and Social Psychology","2666-6227"
"REV-0225","APPLIED SCIENCES-BASEL","2076-3417"
"REV-0226","EMPIRIA","1139-5737; 2174-0682"
"REV-0227","Millars. Espai i Historia","1132-9823; 2340-4809"
"REV-0228","JOURNAL OF TRAUMATIC STRESS","0894-9867; 1573-6598"
"REV-0229","Revolutionary Social Work: Promoting Systemic Changes","9781003194"
"REV-0230","SOCIAL PSYCHOLOGY","1864-9335; 2151-2590"
"REV-0231","STUDIES IN PSYCHOLOGY","0210-9395; 1579-3699"
"REV-0232","IMISCOE Research Series","2364-4087; 2364-4095"
"REV-0233","REVISTA CRIMINALIDAD","1794-3108; 2256-5531"
"REV-0234","PATTERNS","2666-3899"
"REV-0235","LATIN AMERICAN ANTIQUITY","1045-6635"
"REV-0236","TEMPO E ARGUMENTO","2175-1803"
